Event_Type,Counter,Response_Time
Normal,1,68.1297779083252
Normal,2,71.50697708129883
Normal,3,67.9006576538086
Normal,4,70.94311714172363
Normal,5,67.91472434997559
Normal,6,69.30279731750488
Normal,7,72.92532920837402
Normal,8,73.37689399719238
Normal,9,72.83782958984375
Normal,10,70.30320167541504
Normal,11,69.85640525817871
Normal,12,68.73035430908203
Normal,13,71.98262214660645
Normal,14,70.06502151489258
Normal,15,70.68181037902832
Normal,16,70.76191902160645
Normal,17,69.24867630004883
Normal,18,69.53787803649902
Normal,19,72.12042808532715
Normal,20,70.98078727722168
Normal,21,67.07215309143066
Normal,22,67.68989562988281
Normal,23,69.81325149536133
Normal,24,69.74267959594727
Normal,25,68.56298446655273
Normal,26,69.58222389221191
Normal,27,70.68610191345215
Normal,28,68.28713417053223
Normal,29,70.28555870056152
Normal,30,68.09806823730469
Normal,31,67.70586967468262
Normal,32,69.8544979095459
Normal,33,69.5803165435791
Normal,34,68.62401962280273
Normal,35,70.24455070495605
Normal,36,72.7393627166748
Normal,37,68.94826889038086
Normal,38,69.88239288330078
Normal,39,68.26257705688477
Normal,40,69.90599632263184
Normal,41,69.10991668701172
Normal,42,70.91045379638672
Normal,43,70.8913803100586
Normal,44,69.30136680603027
Normal,45,71.22659683227539
Normal,46,68.1464672088623
Normal,47,67.76785850524902
Normal,48,70.46079635620117
Normal,49,70.89447975158691
Normal,50,69.89645957946777
Normal,51,69.98634338378906
Normal,52,69.21553611755371
Normal,53,69.80633735656738
Normal,54,68.7110424041748
Normal,55,68.05300712585449
Normal,56,68.3128833770752
Normal,57,72.3562240600586
Normal,58,72.20244407653809
Normal,59,72.2963809967041
Normal,60,72.1426010131836
Normal,61,72.11136817932129
Normal,62,69.59676742553711
Normal,63,68.32337379455566
Normal,64,74.75638389587402
Normal,65,70.526123046875
Normal,66,72.14212417602539
Normal,67,75.35362243652344
Normal,68,71.07758522033691
Normal,69,69.56720352172852
Normal,70,72.86667823791504
Normal,71,72.6327896118164
Normal,72,70.01495361328125
Normal,73,67.51346588134766
Normal,74,70.03188133239746
Normal,75,71.03466987609863
Normal,76,69.99516487121582
Normal,77,71.57540321350098
Normal,78,71.32267951965332
Normal,79,70.16491889953613
Normal,80,71.97403907775879
Normal,81,66.68448448181152
Normal,82,68.3434009552002
Normal,83,67.9013729095459
Normal,84,68.52984428405762
Normal,85,72.08418846130371
Normal,86,70.6017017364502
Normal,87,69.58842277526855
Normal,88,71.15578651428223
Normal,89,72.26443290710449
Normal,90,67.0773983001709
Normal,91,67.31200218200684
Normal,92,71.63715362548828
Normal,93,68.26925277709961
Normal,94,69.51355934143066
Normal,95,72.64852523803711
Normal,96,70.73307037353516
Normal,97,71.04659080505371
Normal,98,69.84615325927734
Normal,99,70.44315338134766
Normal,100,69.94032859802246
Normal,101,69.15116310119629
Normal,102,81.4971923828125
Normal,103,72.8006362915039
Normal,104,72.8299617767334
Normal,105,71.79427146911621
Normal,106,71.34652137756348
Normal,107,70.00041007995605
Hint,108,102.45561599731445
Hint,109,103.5926342010498
Hint,110,105.28874397277832
Hint,111,104.71963882446289
Hint,112,104.88176345825195
Hint,113,104.53009605407715
Hint,114,105.61108589172363
Hint,115,104.56275939941406
Hint,116,105.29088973999023
Hint,117,108.14929008483887
Hint,118,103.02209854125977
Hint,119,103.44576835632324
Hint,120,103.0580997467041
Hint,121,103.22380065917969
Hint,122,103.46698760986328
Hint,123,103.50251197814941
Hint,124,102.79130935668945
Hint,125,104.7658920288086
Hint,126,103.27029228210449
Hint,127,106.51040077209473
Hint,128,112.51235008239746
Hint,129,105.83233833312988
Hint,130,107.04946517944336
Hint,131,103.7747859954834
Hint,132,105.63898086547852
Hint,133,106.07695579528809
Hint,134,107.96475410461426
Hint,135,105.54242134094238
Hint,136,102.2801399230957
Hint,137,105.91864585876465
Hint,138,104.28953170776367
Hint,139,103.09624671936035
Hint,140,104.54273223876953
Hint,141,103.4538745880127
Hint,142,112.4875545501709
Hint,143,104.28190231323242
Hint,144,105.79252243041992
Hint,145,102.08487510681152
Hint,146,103.8370132446289
Hint,147,101.65143013000488
Hint,148,103.1494140625
Hint,149,103.36804389953613
Hint,150,102.23245620727539
Hint,151,103.58095169067383
Hint,152,101.44710540771484
Hint,153,103.09934616088867
Hint,154,107.67650604248047
Hint,155,103.29937934875488
