Event_Type,Counter,Response_Time
Normal,1,65.60039520263672
Normal,2,63.60816955566406
Normal,3,73.51446151733398
Normal,4,70.40548324584961
Normal,5,65.95754623413086
Normal,6,59.9515438079834
Normal,7,63.01474571228027
Normal,8,63.56096267700195
Normal,9,62.291622161865234
Normal,10,60.208797454833984
Normal,11,62.68572807312012
Normal,12,60.811519622802734
Normal,13,66.46227836608887
Normal,14,67.39163398742676
Normal,15,63.721656799316406
Normal,16,61.3095760345459
Normal,17,62.71839141845703
Normal,18,62.79468536376953
Normal,19,63.8885498046875
Normal,20,61.73086166381836
Normal,21,56.98871612548828
Normal,22,59.084177017211914
Normal,23,56.22553825378418
Normal,24,62.48188018798828
Normal,25,60.25576591491699
Normal,26,63.019752502441406
Normal,27,65.18077850341797
Normal,28,64.07451629638672
Normal,29,66.6344165802002
Normal,30,63.47370147705078
Normal,31,60.28318405151367
Normal,32,59.18693542480469
Normal,33,59.68141555786133
Normal,34,62.67428398132324
Normal,35,60.373544692993164
Normal,36,59.903860092163086
Normal,37,63.8432502746582
Normal,38,60.29629707336426
Normal,39,64.74947929382324
Normal,40,60.06479263305664
Normal,41,63.31825256347656
Normal,42,59.17644500732422
Normal,43,59.424638748168945
Normal,44,59.906721115112305
Normal,45,59.009552001953125
Normal,46,59.293270111083984
Normal,47,59.24725532531738
Normal,48,62.82758712768555
Normal,49,58.69102478027344
Normal,50,58.84432792663574
Normal,51,60.712337493896484
Normal,52,58.91871452331543
Normal,53,58.72035026550293
Normal,54,58.84552001953125
Normal,55,59.183359146118164
Normal,56,62.62636184692383
Normal,57,58.66217613220215
Normal,58,58.556556701660156
Normal,59,58.94184112548828
Normal,60,58.73370170593262
Normal,61,62.82806396484375
Normal,62,58.72511863708496
Normal,63,59.342384338378906
Normal,64,60.11700630187988
Normal,65,58.907508850097656
Normal,66,58.92825126647949
Normal,67,58.6395263671875
Normal,68,59.13257598876953
Normal,69,66.74671173095703
Normal,70,60.830116271972656
Normal,71,59.53574180603027
Normal,72,60.22810935974121
Normal,73,65.86718559265137
Normal,74,55.53483963012695
Normal,75,59.01956558227539
Normal,76,52.19912528991699
Normal,77,56.78892135620117
Normal,78,60.17708778381348
Normal,79,51.874637603759766
Normal,80,51.53322219848633
Normal,81,56.609392166137695
Normal,82,52.30093002319336
Normal,83,52.83236503601074
Normal,84,54.74233627319336
Normal,85,52.6120662689209
Normal,86,52.92773246765137
Normal,87,54.28767204284668
Normal,88,54.98528480529785
Normal,89,52.60801315307617
Normal,90,52.00529098510742
Normal,91,55.1905632019043
Normal,92,53.071022033691406
Normal,93,52.05869674682617
Normal,94,55.57084083557129
Normal,95,52.58321762084961
Normal,96,51.86581611633301
Normal,97,52.41727828979492
Normal,98,52.495718002319336
Normal,99,55.61256408691406
Normal,100,52.29067802429199
Normal,101,52.275896072387695
Normal,102,55.060625076293945
Normal,103,54.67939376831055
Normal,104,52.02627182006836
Normal,105,53.27725410461426
Normal,106,53.21526527404785
Normal,107,52.09517478942871
Normal,108,54.63147163391113
Normal,109,53.56097221374512
Normal,110,53.05814743041992
Normal,111,53.075313568115234
Normal,112,56.77533149719238
Normal,113,53.40290069580078
Normal,114,53.19356918334961
Normal,115,53.02834510803223
Normal,116,53.556203842163086
Hint,117,99.5950698852539
Hint,118,82.91053771972656
Normal,1,63.01617622375488
Normal,2,64.41450119018555
Normal,3,64.29219245910645
Normal,4,69.29445266723633
Normal,5,64.90612030029297
Normal,6,65.26803970336914
Normal,7,67.62266159057617
Normal,8,64.59259986877441
Normal,9,60.73260307312012
Normal,10,57.476043701171875
Normal,11,70.83916664123535
Normal,12,65.31500816345215
Normal,13,66.02191925048828
Normal,14,64.54992294311523
Normal,15,64.81671333312988
Normal,16,67.84725189208984
Normal,17,65.50145149230957
Normal,18,64.21637535095215
Normal,19,60.31060218811035
Normal,20,60.118675231933594
Normal,21,63.87662887573242
Normal,22,65.19770622253418
Normal,23,66.73932075500488
Normal,24,68.22729110717773
Normal,25,64.79430198669434
Normal,26,64.42093849182129
Normal,27,67.17491149902344
Normal,28,62.833547592163086
Normal,29,67.7490234375
