Event_Type,Keys_Migrated,Key_Size,Migration_Time
Hint,5,128,1.9321441650390625
Hint,5,128,1.1119842529296875
Hint,5,128,0.9377002716064453
Hint,5,128,1.0838508605957031
Hint,5,128,0.8771419525146484
Hint,5,128,1.0771751403808594
Hint,5,128,0.9775161743164062
Hint,5,128,0.8854866027832031
Hint,5,128,0.9353160858154297
Hint,5,128,0.9624958038330078
Hint,5,128,0.8418560028076172
Hint,5,128,0.8559226989746094
Hint,5,128,0.9033679962158203
Hint,5,128,0.8816719055175781
Hint,5,128,0.8428096771240234
Hint,5,128,0.9129047393798828
Hint,5,128,2.3000240325927734
Hint,5,128,1.0104179382324219
Hint,5,128,0.86212158203125
Hint,5,128,1.1131763458251953
Hint,5,128,0.9851455688476562
Hint,5,128,0.9791851043701172
Hint,5,128,0.9438991546630859
Hint,5,128,1.1444091796875
Hint,5,128,0.9417533874511719
Hint,5,128,0.9486675262451172
Hint,5,128,1.0027885437011719
Hint,5,128,0.9915828704833984
Hint,5,128,1.0142326354980469
Hint,5,128,0.9896755218505859
Hint,5,128,0.9381771087646484
Hint,5,128,0.9214878082275391
Hint,5,128,0.9903907775878906
Hint,5,128,1.012563705444336
Hint,5,128,0.9126663208007812
Hint,5,128,0.9369850158691406
Hint,5,128,0.8404254913330078
Hint,5,128,0.9019374847412109
Hint,5,128,0.9334087371826172
Hint,5,128,0.8807182312011719
Hint,5,128,0.8237361907958984
Hint,5,128,0.7956027984619141
Hint,5,128,0.797271728515625
Hint,5,128,0.8594989776611328
Hint,5,128,0.8358955383300781
Hint,5,128,0.8404254913330078
Hint,5,128,0.8127689361572266
Hint,5,128,2.6988983154296875
Hint,5,128,0.873565673828125
Hint,5,128,0.8373260498046875
Hint,5,128,0.782012939453125
Hint,5,128,0.7834434509277344
Hint,5,128,0.8294582366943359
Hint,5,128,0.8478164672851562
Hint,5,128,0.7882118225097656
Hint,5,128,0.7846355438232422
Hint,5,128,0.7798671722412109
Hint,5,128,0.782012939453125
Hint,5,128,0.7805824279785156
Hint,5,128,0.7889270782470703
Hint,5,128,0.850677490234375
Hint,5,128,0.7975101470947266
Hint,5,128,0.7693767547607422
Hint,5,128,0.8068084716796875
Hint,5,128,0.8370876312255859
Hint,5,128,0.8342266082763672
Hint,5,128,0.8213520050048828
Hint,5,128,0.7953643798828125
Hint,5,128,0.8425712585449219
